date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
2003289,0,0,49,-67.7,153.367,1,1381.29,-0.0314
2003290,1,0,49,-67.7,153.367,1,1323.17,-0.0365
2003291,1,0,49,-67.7,153.367,1,1265.05,-0.0314
2003292,1,3.542,49,-67.731,153.343,1,1206.92,-0.0202
2003293,1,0,49,-67.731,153.343,1,1148.8,-0.0067
2003294,1,0,49,-67.731,153.343,1,1090.67,0.0101
2003295,1,18.607,49,-67.627,152.995,1,1032.55,0
2003296,1,0,49,-67.627,152.995,1,974.43,0
2003297,1,0,49,-67.627,152.995,1,916.3,0
2003298,1,8.212,17,-67.556,153.043,1,858.18,0
2003299,1,0,17,-67.556,153.043,1,800.05,0
2003300,1,0,17,-67.556,153.043,1,741.93,0
2003301,1,0,17,-67.556,153.043,1,683.81,0
2003302,1,5.84,17,-67.543,153.177,1,616.19,0
2003303,1,0,17,-67.543,153.177,1,540.48,0
2003304,1,4.344,17,-67.512,153.115,1,490.32,0
2003305,1,0,17,-67.512,153.115,1,452.68,0
2004039,99,131.069,3,-66.4,152.1,1,414.12,0
2004060,21,180.205,3,-66,148.2,1,376.53,0
2004077,17,65.612,17,-66.587,148.373,1,340.25,0
2004078,1,0,17,-66.587,148.373,1,305.21,0
2004079,1,10.557,17,-66.681,148.332,1,271.1,0
2004080,1,9.21,17,-66.761,148.385,1,239.67,0
2004081,1,9.005,17,-66.822,148.25,1,231.1,0
2004082,1,6.816,17,-66.861,148.129,1,219.95,0
2004083,1,0,17,-66.861,148.129,1,189,0
2004084,1,0,17,-66.861,148.129,1,179.77,0
2004085,1,0,17,-66.861,148.129,1,152.73,0
2004086,1,9.033,17,-66.781,148.166,1,128.79,0
2004087,1,0,17,-66.781,148.166,1,105.04,0
2004088,1,6.764,19,-66.84,148.133,1,89.04,0
2004089,1,6.764,17,-66.781,148.166,1,76.11,0
2004090,1,0,17,-66.781,148.166,1,71.76,0
2004091,1,0,17,-66.781,148.166,1,75.64,0
2004092,1,0,17,-66.781,148.166,1,74.8,0
2004093,1,0,17,-66.781,148.166,1,84.39,0
2004094,1,0,17,-66.781,148.166,1,87.15,0
2004095,1,7.425,17,-66.832,148.057,1,96.09,0
2004096,1,0,17,-66.832,148.057,1,108.89,0
2004097,1,0,17,-66.832,148.057,1,111.39,0
2004098,1,0,17,-66.832,148.057,1,130.55,0
2004099,1,16.189,17,-66.97,147.934,1,137.61,0
2004100,1,0,17,-66.97,147.934,1,144.95,0
2004101,1,0,17,-66.97,147.934,1,169.23,0
2004102,1,0,17,-66.97,147.934,1,180.97,0
2004103,1,0,17,-66.97,147.934,1,207.37,0
2004104,1,0,17,-66.97,147.934,1,235.23,0
2004105,1,10.501,17,-66.909,148.119,1,246.91,0
2004106,1,0,17,-66.909,148.119,1,297.05,0
2004107,1,0,17,-66.909,148.119,1,327.02,0
2004108,1,0,17,-66.909,148.119,1,358.48,0
2004109,1,8.165,17,-66.844,148.033,1,402.93,0
2004110,1,0,17,-66.844,148.033,1,451.58,0
2004111,1,8.613,17,-66.767,148.008,1,497.82,0
2004112,1,0,17,-66.767,148.008,1,539.93,0
2004113,1,0,17,-66.767,148.008,1,575.92,0
2004114,1,10.212,17,-66.676,147.973,1,605.55,0
2004115,1,0,17,-66.676,147.973,1,641.68,0
2004116,1,8.829,17,-66.62,148.116,1,671.38,0
2004117,1,1.606,17,-66.608,148.135,1,699.8,0
2004118,1,0,17,-66.608,148.135,1,726.74,0
2004119,1,0,17,-66.608,148.135,1,762.49,0.0216
2004120,1,0,17,-66.608,148.135,1,786.58,0.0813
2004121,1,0,17,-66.608,148.135,1,809.8,-0.2096
2004122,1,0,17,-66.608,148.135,1,844.31,-0.1557
2004123,1,3.306,17,-66.633,148.095,1,864.03,-0.1153
2004124,1,4.352,17,-66.624,147.999,1,896,-0.0659
2004125,1,0,17,-66.624,147.999,1,928.19,-0.0076
2004126,1,0,17,-66.624,147.999,1,943.31,0.0597
2004127,1,14.67,17,-66.492,147.983,1,970.62,0.1358
2004128,1,3.976,17,-66.463,148.038,1,984.16,0.153
2004129,1,0,17,-66.463,148.038,1,995.7,-0.1104
2004130,1,0,17,-66.463,148.038,1,1022.41,0.0071
2004131,1,11.565,17,-66.364,148.114,1,1009.13,0
2004132,1,5.593,17,-66.34,148.225,1,1016.35,0
2004133,1,0,17,-66.34,148.225,1,1021.96,0
2004134,1,0,17,-66.34,148.225,1,1018.09,-0.0023
2004135,1,0,17,-66.34,148.225,1,988.08,-0.0038
2004136,1,19.25,17,-66.191,148.445,1,958.15,0.0068
2004137,1,4.393,17,-66.16,148.384,1,931.46,0.0434
2004138,1,0,17,-66.16,148.384,1,905.53,-0.0642
2004139,1,5.259,17,-66.129,148.295,1,883.29,-0.0176
2004140,1,0,17,-66.129,148.295,1,848.67,0.0983
2004141,1,7.972,17,-66.071,148.191,1,820.69,0.1757
2004142,1,0,17,-66.071,148.191,1,791.6,0.2143
2004143,1,6.645,17,-66.048,148.055,1,761,0.2216
