date,date_gap,disp,flags,lat,lon,mask,size,vel_angle
1998340,0,0,3,-75.7,-39.5,0,-36.71,0
1998354,14,0,3,-75.7,-39.5,0,-27.02,0
1999080,91,77.88,3,-75,-39.3,0,-17.33,0
1999171,91,177.969,3,-75,-45.5,0,-7.64,0
1999172,1,3.552,3,-74.994,-45.622,0,2.05,0
1999173,1,4.853,3,-74.978,-45.778,0,11.74,0
1999174,1,5.671,3,-74.953,-45.95,0,21.43,0
1999175,1,6.004,3,-74.921,-46.118,0,31.12,0
1999176,1,5.868,3,-74.883,-46.261,0,40.81,0
1999177,1,5.387,3,-74.843,-46.362,0,50.51,0
1999178,1,4.854,3,-74.8,-46.4,0,60.2,0
1999179,1,6.587,3,-74.741,-46.383,0,69.89,0
1999180,1,9.516,3,-74.656,-46.341,0,79.58,0
1999181,1,11.297,3,-74.555,-46.282,0,84.39,0
1999182,1,11.925,3,-74.449,-46.218,0,103.75,0
1999183,1,11.377,3,-74.348,-46.16,0,123.52,0
1999184,1,9.685,3,-74.261,-46.117,0,145.05,0
1999185,1,6.821,3,-74.2,-46.1,0,167.35,0
1999199,14,44.809,3,-73.8,-46.3,1,191.05,0
1999202,3,3.726,17,-73.774,-46.224,1,213.34,0
1999203,1,8.382,17,-73.701,-46.159,2,239.31,0
1999204,1,6.872,17,-73.687,-46.374,2,266.37,0
1999205,1,3.852,17,-73.668,-46.271,2,295.3,0
1999206,1,12.45,17,-73.777,-46.181,2,306.24,0
1999207,1,12.009,17,-73.679,-46.345,2,338.4,0
1999208,1,2.831,17,-73.655,-46.314,2,378.52,0
1999209,1,1.391,17,-73.651,-46.272,2,417.83,0
1999210,1,4.516,17,-73.683,-46.36,2,456.13,0
1999211,1,16.889,17,-73.829,-46.518,2,491.33,0
1999212,1,15.192,17,-73.949,-46.28,2,528.03,0
1999213,1,16.645,17,-74.064,-46.628,2,562.75,0
1999214,1,15.458,17,-74.202,-46.554,2,595.63,0
1999215,1,6.113,17,-74.256,-46.516,2,635.56,0
1999216,1,4.151,17,-74.294,-46.505,2,675.61,0
1999217,1,5.994,17,-74.241,-46.544,2,706.81,0
1999218,1,5.707,17,-74.2,-46.425,2,764.41,0
1999219,1,13.327,17,-74.169,-46.85,2,793.26,0
1999220,1,23.279,18,-73.96,-46.773,2,831.63,0
1999221,1,1.742,19,-73.971,-46.813,2,886.09,0
1999222,1,5.214,19,-73.929,-46.739,2,922.16,0
1999223,1,3.276,19,-73.9,-46.711,2,961.29,0
1999224,1,9.663,19,-73.818,-46.609,2,1000.34,0
1999225,1,4.309,19,-73.781,-46.647,2,1037.45,0
1999226,1,1.899,19,-73.789,-46.593,2,1053.77,0
1999227,1,2.989,18,-73.773,-46.514,2,1071.48,0
1999228,1,3.964,17,-73.751,-46.614,2,1094.97,0
1999229,1,1.397,17,-73.763,-46.631,2,1110.65,0
1999230,1,5.416,17,-73.719,-46.555,2,1135.47,0
1999231,1,11.408,17,-73.761,-46.89,2,1173.54,0
1999232,1,16.237,17,-73.683,-46.448,2,1182.87,0
1999233,1,7.702,17,-73.688,-46.202,2,1180.21,0
1999234,1,4.137,17,-73.684,-46.334,2,1187.49,0
1999235,1,8.28,17,-73.628,-46.156,2,1184.33,0
1999236,1,12.633,17,-73.517,-46.248,2,1183.29,0
1999237,1,7.492,17,-73.452,-46.3,2,1175.8,0.0502
1999238,1,5.759,17,-73.418,-46.438,2,1172.79,-0.1038
1999239,1,9.046,17,-73.341,-46.533,2,1166.8,-0.0365
1999240,1,4.423,17,-73.364,-46.647,2,1162.02,-0.0504
1999241,1,20.978,18,-73.197,-46.337,2,1154.63,0.0067
1999242,1,20.989,17,-73.376,-46.55,2,1147.74,0.0585
1999243,1,17.215,17,-73.223,-46.451,2,1122.8,0.2336
1999244,1,13.205,17,-73.123,-46.231,2,1113.98,0.5104
1999245,1,4.955,17,-73.078,-46.215,2,1102.86,0.8092
1999246,1,9.475,17,-72.993,-46.196,2,1076.04,0.7422
1999247,1,8.15,17,-72.928,-46.078,2,1052.09,0.7623
1999248,1,8.343,17,-72.869,-45.924,2,1023.56,0.5308
1999249,1,6.216,17,-72.925,-45.928,2,992.26,0.2969
1999250,1,16.08,17,-72.95,-46.414,2,960.77,0.0269
1999251,1,17.847,17,-72.833,-46.789,2,947.57,-0.0864
1999252,1,25.997,17,-72.608,-46.575,2,933.48,-0.0656
1999253,1,13.009,17,-72.538,-46.891,2,912.79,0.0153
1999254,1,16.04,17,-72.398,-46.998,2,898.81,0
1999255,1,3.24,17,-72.377,-46.93,2,874.69,0
1999256,1,28.175,17,-72.146,-47.274,2,854.45,0
1999257,1,9.953,17,-72.171,-47.556,2,842.29,0
1999258,1,4.451,17,-72.144,-47.459,2,833.03,0
1999259,1,4.451,17,-72.171,-47.556,2,814.91,0
1999260,1,41.07,17,-72.473,-48.261,2,805.52,0
1999261,1,28.177,17,-72.37,-47.491,2,796.19,0
1999262,1,6.31,17,-72.427,-47.5,2,789.69,0
1999263,1,9.958,17,-72.452,-47.786,2,779.64,0
1999264,1,8.914,17,-72.506,-47.984,2,765.68,-0.0167
1999265,1,6.301,17,-72.449,-47.974,2,757.76,0.0111
1999266,1,9.958,17,-72.481,-47.696,2,751.41,0.031
1999267,1,9.965,17,-72.398,-47.589,2,743.2,0.0429
1999268,1,4.462,17,-72.427,-47.5,2,736.36,0.0176
1999269,1,12.608,17,-72.541,-47.516,2,729.62,0.0624
1999270,1,12.602,17,-72.535,-47.894,2,727.57,0.0853
1999271,1,13.371,17,-72.446,-48.162,2,722.65,0.0863
1999272,1,6.297,17,-72.443,-48.35,2,719.52,0.0655
1999273,1,14.095,17,-72.326,-48.514,2,708.36,0.0752
1999274,1,6.293,17,-72.269,-48.503,2,697.8,0.0543
1999275,1,4.449,17,-72.299,-48.415,2,687.84,0.0195
1999276,1,10.662,18,-72.206,-48.496,2,666.76,-0.0292
1999277,1,0.703,17,-72.212,-48.492,2,645.41,0
1999278,1,9.957,17,-72.126,-48.567,2,632.89,0
1999279,1,14.084,17,-72.009,-48.727,2,619.35,0
1999280,1,9.951,17,-71.986,-48.447,2,593.52,0
1999281,1,4.449,17,-71.956,-48.533,2,568.76,0
1999282,1,9.945,17,-71.922,-48.801,2,551.88,0
1999283,1,0,17,-71.922,-48.801,2,533.92,0
1999284,1,6.295,17,-71.866,-48.788,2,504.83,0
1999285,1,4.444,17,-71.896,-48.704,2,484.63,0
1999286,1,9.947,17,-71.873,-48.425,2,463.35,0
1999287,1,9.953,17,-71.956,-48.533,2,441.48,0
1999288,1,4.449,17,-71.986,-48.447,2,418.84,0
1999289,1,4.45,17,-72.016,-48.361,2,402.43,0
1999290,1,8.909,17,-72.069,-48.555,2,377.46,0
1999291,1,9.949,17,-72.152,-48.665,2,352.62,0
1999292,1,9.951,17,-72.118,-48.936,2,328.07,0
1999293,1,6.293,17,-72.114,-49.12,2,303.19,0
1999294,1,6.293,17,-72.11,-49.304,2,278.52,0
1999295,1,9.954,17,-72.075,-49.573,2,252.92,0
1999296,1,14.071,17,-72.009,-49.924,2,228.87,0
1999297,1,7.165,18,-71.952,-50.02,2,202.11,0
1999298,1,12.284,19,-71.842,-49.977,2,184.57,0
1999299,1,7.97,19,-71.77,-49.967,2,172.81,0
1999300,1,10.112,19,-71.68,-49.94,2,155.92,0
1999301,1,11.358,19,-71.585,-49.816,2,160.43,0
1999302,1,8.77,19,-71.509,-49.748,2,167.29,0
1999303,1,6.663,19,-71.451,-49.698,2,164.84,0
1999304,1,4.597,18,-71.434,-49.817,2,164.86,0
1999305,1,28.561,17,-71.506,-50.594,2,178.14,0
1999306,1,4.445,17,-71.475,-50.674,2,192.78,0
1999307,1,4.446,17,-71.444,-50.754,2,200.14,0
1999308,1,4.44,17,-71.413,-50.833,2,194.95,0
1999309,1,4.447,17,-71.382,-50.912,2,216.68,0
1999310,1,9.936,17,-71.3,-50.797,2,232.51,0
1999311,1,0,17,-71.3,-50.797,2,250.97,0
1999312,1,0,17,-71.3,-50.797,2,256.13,0
1999313,1,8.887,17,-71.362,-50.639,2,259.9,0
1999314,1,6.279,17,-71.419,-50.656,2,294.27,0
1999315,1,8.888,17,-71.469,-50.851,2,320.84,0
1999316,1,0,17,-71.469,-50.851,2,353.48,0
1999317,1,9.938,17,-71.551,-50.967,2,383.07,0
1999318,1,0,17,-71.551,-50.967,2,417.35,0
1999319,1,16.022,17,-71.564,-51.422,2,448.72,0
1999320,1,14.056,17,-71.495,-51.756,1,482.44,0
1999321,1,7.928,17,-71.444,-51.914,1,515.91,0
1999322,1,6.022,17,-71.402,-52.025,1,549.81,0
1999323,1,5.935,17,-71.385,-52.183,1,583.15,0
1999324,1,12.374,17,-71.412,-52.523,2,611.07,0
1999325,1,15.132,17,-71.385,-52.942,2,645.35,0
1999326,1,10.361,17,-71.327,-53.169,2,671.16,0
1999327,1,11.585,17,-71.225,-53.099,2,698.2,0
1999328,1,7.189,17,-71.26,-53.268,2,723.98,0
1999329,1,19.857,17,-71.29,-53.817,2,748,0
1999330,1,14.044,17,-71.217,-54.138,2,769.78,-0.0052
1999331,1,12.557,17,-71.198,-54.484,2,790.27,0.0035
1999332,1,6.279,17,-71.143,-54.455,2,811.58,0.0097
1999333,1,4.437,17,-71.166,-54.556,2,844.42,0.0259
1999334,1,8.881,17,-71.212,-54.758,2,860.38,0.0064
1999335,1,4.441,17,-71.235,-54.86,2,873.47,-0.0096
1999336,1,4.447,17,-71.202,-54.931,2,885.51,0.0692
1999337,1,4.435,17,-71.17,-55.003,2,911.93,0.0098
1999338,1,0,17,-71.17,-55.003,2,940.98,-0.2975
1999339,1,6.288,17,-71.114,-54.972,2,939.86,-0.5068
1999340,1,0,17,-71.114,-54.972,2,948.1,-0.3029
1999341,1,22.632,17,-70.973,-55.425,2,950.44,-0.4067
1999342,1,9.929,17,-70.884,-55.463,2,956.84,-0.4412
1999343,1,12.464,17,-70.806,-55.71,2,958.17,-0.3294
1999344,1,7.628,17,-70.757,-55.854,2,963.12,-0.1106
1999345,1,5.923,17,-70.789,-55.724,2,964.82,-0.0722
1999346,1,2.808,17,-70.766,-55.687,2,967.06,-0.2003
1999347,1,1.966,17,-70.779,-55.724,2,968.33,-0.1416
1999348,1,2.679,17,-70.757,-55.749,2,967.02,0.151
1999349,1,5.192,17,-70.803,-55.757,2,963.37,0.0057
1999350,1,1.25,17,-70.797,-55.729,2,956.14,-0.0085
1999351,1,8.764,17,-70.751,-55.925,2,945.74,0
1999352,1,5.021,17,-70.714,-56.002,1,929.76,0
1999353,1,9.375,17,-70.67,-55.784,1,910.17,0
1999354,1,15.256,17,-70.704,-56.187,1,887.71,0
2000051,62,49.657,3,-70.6,-57.5,0,863.15,0
2000072,21,26.69,3,-70.4,-57.9,0,835.17,0
2000073,1,0.646,3,-70.406,-57.894,0,802.72,0
2000074,1,1.696,3,-70.42,-57.878,0,769.12,0
2000075,1,2.363,3,-70.439,-57.853,0,733.32,0
2000076,1,2.634,3,-70.461,-57.822,0,695.3,0
2000077,1,2.578,3,-70.48,-57.784,0,657.15,0
2000078,1,2.198,3,-70.495,-57.743,0,618.52,0
2000079,1,1.713,3,-70.5,-57.7,0,579.9,0
2000093,14,70.592,3,-70.3,-55.9,0,541.27,0
2000128,35,111.437,3,-69.6,-58,0,502.28,0
2000149,21,33.298,3,-69.3,-58,0,463.22,0
2000163,14,11.775,3,-69.2,-57.9,0,424.23,0
2000177,14,23.569,3,-69,-58.1,0,385.07,0
2000178,1,2.844,3,-68.974,-58.097,0,345.87,0
2000179,1,3.809,3,-68.94,-58.089,0,306.65,0
2000180,1,4.279,3,-68.902,-58.077,0,267.44,0
2000181,1,4.232,3,-68.864,-58.061,0,230.69,0
2000182,1,3.694,3,-68.832,-58.043,0,197,0
2000183,1,2.674,3,-68.809,-58.022,0,165.77,0
2000184,1,1.308,3,-68.8,-58,0,138.83,0
2000198,14,55.061,3,-69.1,-56.9,0,111.9,0
2000199,1,0.555,3,-69.097,-56.911,0,84.96,0
2000200,1,1.504,3,-69.089,-56.941,0,58.03,0
2000201,1,2.247,3,-69.076,-56.985,0,31.1,0
2000202,1,2.768,3,-69.059,-57.037,0,4.16,0
2000203,1,3.061,3,-69.041,-57.094,0,-22.77,0
2000204,1,3.143,3,-69.021,-57.15,0,-49.71,0
2000205,1,3.027,3,-69,-57.2,0,-76.64,0
2000219,14,72.329,3,-68.4,-57.9,0,-103.58,0
2000233,14,89.186,3,-67.6,-58.1,0,-130.51,0
2000317,84,0,3,-67.6,-58.1,0,-157.44,0
